00:09.558	00:11.150	你的过#去
00:11.681	00:13.805	我#不曾#参与
00:15.929	00:17.257	你#的未来
00:18.053	00:20.177	我奉陪##到底
00:22.301	00:23.761	恋爱这#种#事
00:24.425	00:25.885	和#你一#起
00:26.549	00:27.876	才#有意思
00:28.673	00:29.867	你却#说
00:31.858	00:33.319	你想要#静静
00:33.982	00:35.044	车速再#快
00:35.575	00:39.159	也快不到人#生的难题#
00:40.088	00:42.212	已#经看不##见#你
00:43.274	00:44.336	的车#尾灯
00:44.602	00:47.655	我独自被留在台七#乙#
00:48.319	00:51.770	你是我永#远过不去#的弯
00:53.097	00:54.823	如何卡普#
00:55.221	00:56.549	也只会自#摔
00:57.345	00:58.540	我#们的爱#
00:59.469	01:00.531	少了一#半
01:01.593	01:02.655	过期誓#言
01:03.186	01:04.646	像优惠券##
01:05.575	01:07.699	已#经无法##兑#换
01:08.230	01:11.150	你是我永远过#不去的#弯
01:11.947	01:13.540	我的无奈#
01:14.071	01:15.531	被你向外拍#
01:16.460	01:17.788	超贷的#爱
01:18.584	01:19.513	要怎么孩#
01:20.708	01:21.903	莫#忘初衷#
01:22.832	01:26.019	是最后的依赖#
