00:03.084	00:05.176	天上天可有天
00:06.608	00:08.811	可曾听见真的誓言
00:10.352	00:15.859	所谓#永#远是否就#是不#停变
00:16.740	00:19.273	我的天可看见
00:20.705	00:22.907	我有一双秋天的眼
00:24.229	00:29.956	走过人世#间沧海桑田桃花面
00:30.837	00:34.141	花花岁月辗转#一圈
00:34.802	00:37.225	红尘里有多少缘#
00:37.885	00:44.053	被#人群改变被我和#你轻#锁在#眉#羽间
00:44.934	00:47.577	多少天多少年#
00:48.899	00:51.101	我的世界风雪连天
00:52.423	00:58.150	落在#我双#肩冰结我#所有#缠绵#
00:59.031	01:01.674	谁的#眼泪断成了线
01:02.996	01:05.198	谁还可以梦中见
01:06.079	01:12.247	让#爱#再重演让我心#痛你#美丽#的#容颜#
01:13.128	01:19.295	我问天#上天为何满天飘着雨#点
01:20.176	01:26.454	是否天#上天#也有伤心不#能言#
01:27.225	01:31.410	能否让我飞上青#天#化成风雨雷#电#
01:31.630	01:33.392	洗尽人间恩#怨
01:34.714	01:40.440	不要再#细#诉当年爱爱恨#恨#的从前#
01:41.322	01:44.405	不要#说不要想念
01:45.286	01:47.489	谁是谁的#一#片天
