00:35.200	00:38.800	我是一只爱了千年的狐
00:41.600	00:44.800	千年爱恋千年#孤独
00:46.800	00:51.600	长夜里你可知我的红妆为谁补
00:53.200	00:58.000	红尘中你可知我的秀发为谁#梳
01:00.800	01:04.400	我是一只守候千年的狐
01:07.200	01:10.400	千年守候千年#无助
01:12.400	01:17.200	情到深处看我用美丽为你起舞
01:18.800	01:23.600	爱到痛时听我用歌声为你倾#诉
01:25.600	01:31.200	寒窗苦读你我海誓山盟铭心刻#骨
01:32.000	01:39.200	金榜花烛却是天涯漫漫陌路#殊途
01:42.400	01:47.200	能不#能让我为爱哭#一哭
01:48.400	01:53.600	我还是千百年前爱你的白#狐
01:54.000	02:00.000	多少春去春#来朝#朝暮暮
02:01.600	02:05.000	生生世世都是你的狐#
02:08.000	02:12.800	能不#能让我为爱哭一哭
02:14.000	02:19.200	我还#是千百年来不变的白#狐
02:19.600	02:25.600	多少春去春#来朝朝暮暮
02:27.200	02:31.000	来生来世还做你的狐##
