00:33.231	00:37.038	把#最美的瞬间留#下来#
00:38.077	00:41.308	证明彼此曾经相互依##赖
00:42.923	00:44.538	多过伤害#
00:46.615	00:51.923	时间太快记忆都变得灰白#
00:52.846	00:56.077	有过的感动都不复存#在
00:57.692	00:59.077	陷#入深海
01:02.769	01:08.308	最美的瞬间就像忽然又#再见面#
01:09.692	01:11.077	只#一个画面
01:12.000	01:15.577	却记录一段感情又几年#
01:17.538	01:19.154	冰冷的相片
01:20.077	01:23.423	却感到了拥#抱的温暖#
01:24.462	01:29.308	我们的笑#让我模糊#双眼#
01:31.154	01:35.077	我以为可以放得下#不想他#
01:36.000	01:38.077	可以了无牵#挂
01:39.000	01:42.462	现在我一个人#灯光下#
01:43.385	01:45.000	和回忆#摩擦
01:46.154	01:52.846	相爱过#却又出现了偏差#
01:53.538	01:55.615	度过这一个夜晚
01:56.769	01:59.538	控制泪渐渐的在蒸发#
02:00.692	02:04.615	我以为可以放得下#不想他#
02:05.538	02:07.615	没什么好留#下
02:08.538	02:14.769	现在坐在沙发#怀念起#那天的#晚霞#
02:15.692	02:22.385	那一次#听到了你的回答
02:23.308	02:25.154	拍一张相片收下
02:25.846	02:27.462	你还#记得吗
