00:27.526	00:31.546	说不上为什么我变得很主动
00:32.474	00:36.495	若爱上一个人什么都会值得去#做
00:37.423	00:41.443	我想大声宣布对你依依不舍
00:42.371	00:46.392	连隔壁邻居都猜到我现在的感#受
00:47.320	00:51.650	河边的风在吹着头发飘动
00:52.268	00:56.598	牵着你的手一阵莫名#感动
00:57.217	01:00.309	我想带你回我的外婆家
01:00.928	01:06.186	一起看着日#落一直到我们都睡#着
01:07.113	01:11.134	我想就这样牵着你的手不放#开
01:12.062	01:16.083	爱能不能够永远单纯没有悲哀
01:16.701	01:18.866	我想带你骑单车
01:19.175	01:21.340	我想和你看棒球
01:22.268	01:23.814	想这样没担忧
01:24.124	01:25.979	唱着歌一直#走
01:26.907	01:30.928	我想就这样牵着你的手不放#开
01:31.856	01:35.876	爱可不可以简简单单没有伤害
01:36.495	01:38.660	你靠着我的肩膀
01:38.969	01:41.134	你在我胸口睡着
01:42.062	01:43.608	像这样的生活
01:43.918	01:45.773	我爱你你爱我
01:46.392	01:51.340	想简#简#单#单#爱
01:56.289	02:01.237	想简#简#单#单#爱
