song_stem,file_or_dir,type,ok,size_bytes,mtime
lyrics_0,sample01.mid,file,OK,2033,2025-09-22 10:15:35
lyrics_0,sample01.json,file,OK,35,2025-09-22 10:15:35
lyrics_0,sample01.txt,file,OK,367,2025-09-22 10:15:34
lyrics_0,sample01_times.txt,file,OK,608,2025-09-22 10:15:36
lyrics_0,sample01_struct_time.json,file,OK,38,2025-09-22 10:15:37
lyrics_0,sample01_struct_label.json,file,OK,47,2025-09-22 10:15:37
lyrics_0,sample01.wav,file,OK,7018236,2025-09-22 10:15:53
lyrics_0,chord/chord_txt,dir,OK,1 files,
lyrics_0,chord/chord_btc_txt,dir,OK,1 files,
lyrics_1,sample01.mid,file,OK,1922,2025-09-22 10:16:50
lyrics_1,sample01.json,file,OK,34,2025-09-22 10:16:50
lyrics_1,sample01.txt,file,OK,352,2025-09-22 10:16:49
lyrics_1,sample01_times.txt,file,OK,593,2025-09-22 10:16:50
lyrics_1,sample01_struct_time.json,file,OK,37,2025-09-22 10:16:51
lyrics_1,sample01_struct_label.json,file,OK,47,2025-09-22 10:16:51
lyrics_1,sample01.wav,file,OK,6215822,2025-09-22 10:17:08
lyrics_1,chord/chord_txt,dir,OK,1 files,
lyrics_1,chord/chord_btc_txt,dir,OK,1 files,
lyrics_10,sample01.mid,file,OK,1794,2025-09-22 10:18:08
lyrics_10,sample01.json,file,OK,35,2025-09-22 10:18:08
lyrics_10,sample01.txt,file,OK,331,2025-09-22 10:18:07
lyrics_10,sample01_times.txt,file,OK,572,2025-09-22 10:18:09
lyrics_10,sample01_struct_time.json,file,OK,38,2025-09-22 10:18:10
lyrics_10,sample01_struct_label.json,file,OK,47,2025-09-22 10:18:10
lyrics_10,sample01.wav,file,OK,4419838,2025-09-22 10:18:26
lyrics_10,chord/chord_txt,dir,OK,1 files,
lyrics_10,chord/chord_btc_txt,dir,OK,1 files,
lyrics_100,sample01.mid,file,OK,1808,2025-09-22 10:19:28
lyrics_100,sample01.json,file,OK,34,2025-09-22 10:19:28
lyrics_100,sample01.txt,file,OK,333,2025-09-22 10:19:28
lyrics_100,sample01_times.txt,file,OK,574,2025-09-22 10:19:29
lyrics_100,sample01_struct_time.json,file,OK,39,2025-09-22 10:19:30
lyrics_100,sample01_struct_label.json,file,OK,47,2025-09-22 10:19:30
lyrics_100,sample01.wav,file,OK,4981648,2025-09-22 10:19:46
lyrics_100,chord/chord_txt,dir,OK,1 files,
lyrics_100,chord/chord_btc_txt,dir,OK,1 files,
lyrics_101,sample01.mid,file,OK,1729,2025-09-22 10:20:41
lyrics_101,sample01.json,file,OK,34,2025-09-22 10:20:41
lyrics_101,sample01.txt,file,OK,323,2025-09-22 10:20:40
lyrics_101,sample01_times.txt,file,OK,564,2025-09-22 10:20:41
lyrics_101,sample01_struct_time.json,file,OK,35,2025-09-22 10:20:42
lyrics_101,sample01_struct_label.json,file,OK,47,2025-09-22 10:20:42
lyrics_101,sample01.wav,file,OK,5448090,2025-09-22 10:20:58
lyrics_101,chord/chord_txt,dir,OK,1 files,
lyrics_101,chord/chord_btc_txt,dir,OK,1 files,
lyrics_102,sample01.mid,file,OK,1693,2025-09-22 10:21:53
lyrics_102,sample01.json,file,OK,34,2025-09-22 10:21:53
lyrics_102,sample01.txt,file,OK,321,2025-09-22 10:21:52
lyrics_102,sample01_times.txt,file,OK,562,2025-09-22 10:21:54
lyrics_102,sample01_struct_time.json,file,OK,39,2025-09-22 10:21:55
lyrics_102,sample01_struct_label.json,file,OK,47,2025-09-22 10:21:55
