00:30.231	00:33.231	还记得那场音乐会的烟火#
00:33.923	00:36.923	还记得那个凉凉的深秋#
00:37.615	00:40.615	还记得人潮把你推向了我#
00:41.308	00:44.308	游乐园拥挤的正是时候#
00:45.000	00:48.000	一个夜晚坚持不睡的等候#
00:48.692	00:51.692	一起泡温泉奢侈的享受#
00:52.385	00:55.385	有一次日记里愚蠢的困惑#
00:56.077	00:59.077	因为你的微笑幻化成风#
00:59.769	01:02.769	你大大的勇敢保护着我#
01:03.461	01:06.461	我小小的关怀喋喋不休#
01:07.154	01:10.154	感谢我们一起走了那么久#
01:10.846	01:13.846	又再一次回到凉凉深秋#
01:14.538	01:15.461	给你我的手
01:16.385	01:17.308	像温柔野兽
01:18.231	01:21.231	把自由交给草原的辽阔#
01:22.385	01:24.231	我们小手拉大手
01:24.923	01:26.077	一起郊游
01:26.538	01:28.615	今天别想太多#
01:29.308	01:30.231	你是我的梦
01:31.154	01:32.077	像北方的风
01:33.000	01:36.000	吹着南方暖洋洋的哀愁#
01:37.154	01:39.000	我们小手拉大手
01:39.692	01:43.385	今天加#油向昨天挥挥手#
